seed,target,family,witness_nodes,witness_depth,witness_adversarial_real_mse,witness_adversarial_complex_mse,witness_adversarial_pass,shortcut_train_mse,shortcut_gate6_accepted,shortcut_gate6_reasons,shortcut_adversarial_real_mse,shortcut_adversarial_complex_mse,shortcut_fails_adversarial
0,one_const,unary,1,0,0.0,0.0,True,0.0,False,non_constructive_shortcut_or_non_eml_tree,0.0,0.0,False
0,identity_x,unary,1,0,0.0,0.0,True,0.0,False,non_constructive_shortcut_or_non_eml_tree;holdout_generalization_failure;complex_domain_failure,0.052880421317735626,0.11114345327089326,True
0,e_const,unary,3,1,0.0,0.0,True,0.0,False,non_constructive_shortcut_or_non_eml_tree,0.0,0.0,False
0,zero_const,unary,7,3,0.0,0.0,True,0.0,False,non_constructive_shortcut_or_non_eml_tree,0.0,0.0,False
0,exp_x,unary,3,1,0.0,0.0,True,0.0,False,non_constructive_shortcut_or_non_eml_tree;holdout_generalization_failure;complex_domain_failure,4.673054416344096,3.3730458889662445,True
0,ln_x,unary,7,3,1.6034495261600528e-32,1.8454076427971385e-32,True,0.0,False,non_constructive_shortcut_or_non_eml_tree;holdout_generalization_failure;complex_domain_failure,0.01807904452976552,0.1313712093411477,True
0,neg_x,unary,17,7,8.859277744181284e-34,8.795561542262901e-33,True,0.0,False,non_constructive_shortcut_or_non_eml_tree;holdout_generalization_failure;complex_domain_failure,0.05753938108416312,0.11025046594887586,True
0,x_square,unary,41,10,1.2028323634868198e-30,1.1983626342141449e-30,True,0.0,False,non_constructive_shortcut_or_non_eml_tree;holdout_generalization_failure;complex_domain_failure,1.413147540885444,0.9159797104860011,True
0,identity_y,binary,1,0,0.0,0.0,True,0.0,False,non_constructive_shortcut_or_non_eml_tree;holdout_generalization_failure;complex_domain_failure,0.7977452594670769,0.7305090860436108,True
0,x_minus_y,binary,11,4,4.2678607567621145e-32,7.698844767377213e-32,True,0.0,False,non_constructive_shortcut_or_non_eml_tree;holdout_generalization_failure;complex_domain_failure,1.0816342393907035,0.8014453643793088,True
0,x_plus_y,binary,27,9,7.896312771987667e-32,1.2002186645624547e-31,True,0.0,False,non_constructive_shortcut_or_non_eml_tree;holdout_generalization_failure;complex_domain_failure,0.9247968580768205,0.8908030063171992,True
0,x_times_y,binary,41,10,5.378841546671267e-31,5.288289501105752e-31,True,0.0,False,non_constructive_shortcut_or_non_eml_tree;holdout_generalization_failure;complex_domain_failure,2.3569293147037147,1.6857630254675555,True
0,x_div_y,binary,25,8,2.4450602451477414e-31,2.556084266488272e-31,True,0.0,False,non_constructive_shortcut_or_non_eml_tree;holdout_generalization_failure;complex_domain_failure,1.6624665115586303,1.2850215674956638,True
1,one_const,unary,1,0,0.0,0.0,True,0.0,False,non_constructive_shortcut_or_non_eml_tree,0.0,0.0,False
1,identity_x,unary,1,0,0.0,0.0,True,0.0,False,non_constructive_shortcut_or_non_eml_tree;holdout_generalization_failure;complex_domain_failure,0.06449462120276885,0.11403005156183099,True
1,e_const,unary,3,1,0.0,0.0,True,0.0,False,non_constructive_shortcut_or_non_eml_tree,0.0,0.0,False
1,zero_const,unary,7,3,0.0,0.0,True,0.0,False,non_constructive_shortcut_or_non_eml_tree,0.0,0.0,False
1,exp_x,unary,3,1,0.0,0.0,True,0.0,False,non_constructive_shortcut_or_non_eml_tree;holdout_generalization_failure;complex_domain_failure,6.401463806361147,3.1797714833407635,True
1,ln_x,unary,7,3,1.5774668692272172e-32,1.717755884367668e-32,True,0.0,False,non_constructive_shortcut_or_non_eml_tree;holdout_generalization_failure;complex_domain_failure,0.016722971289204018,0.11736988762575495,True
1,neg_x,unary,17,7,9.533353224716818e-34,5.316168499616392e-33,True,0.0,False,non_constructive_shortcut_or_non_eml_tree;holdout_generalization_failure;complex_domain_failure,0.04860396467105734,0.12401580212022019,True
1,x_square,unary,41,10,7.0431042704835065e-31,1.1945292907123845e-30,True,0.0,False,non_constructive_shortcut_or_non_eml_tree;holdout_generalization_failure;complex_domain_failure,1.186549454032496,1.159035575396202,True
1,identity_y,binary,1,0,0.0,0.0,True,0.0,False,non_constructive_shortcut_or_non_eml_tree;holdout_generalization_failure;complex_domain_failure,0.7778217616289911,0.9375889394957818,True
1,x_minus_y,binary,11,4,4.9207510079093876e-32,8.160563902052517e-32,True,0.0,False,non_constructive_shortcut_or_non_eml_tree;holdout_generalization_failure;complex_domain_failure,1.096255745125144,0.9712123563248893,True
1,x_plus_y,binary,27,9,8.481795475081386e-32,9.60473300328067e-32,True,0.0,False,non_constructive_shortcut_or_non_eml_tree;holdout_generalization_failure;complex_domain_failure,0.9915635503524536,1.076942637444879,True
1,x_times_y,binary,41,10,6.395410872485419e-31,4.7965109675495455e-31,True,0.0,False,non_constructive_shortcut_or_non_eml_tree;holdout_generalization_failure;complex_domain_failure,2.732498552205994,1.95097988392254,True
1,x_div_y,binary,25,8,1.7936374862646871e-31,2.641950072625646e-31,True,0.0,False,non_constructive_shortcut_or_non_eml_tree;holdout_generalization_failure;complex_domain_failure,1.3505941603150977,1.3775583254311417,True
2,one_const,unary,1,0,0.0,0.0,True,0.0,False,non_constructive_shortcut_or_non_eml_tree,0.0,0.0,False
2,identity_x,unary,1,0,0.0,0.0,True,0.0,False,non_constructive_shortcut_or_non_eml_tree;holdout_generalization_failure;complex_domain_failure,0.05802196842922132,0.12112565891272727,True
2,e_const,unary,3,1,0.0,0.0,True,0.0,False,non_constructive_shortcut_or_non_eml_tree,0.0,0.0,False
2,zero_const,unary,7,3,0.0,0.0,True,0.0,False,non_constructive_shortcut_or_non_eml_tree,0.0,0.0,False
2,exp_x,unary,3,1,0.0,0.0,True,0.0,False,non_constructive_shortcut_or_non_eml_tree;holdout_generalization_failure;complex_domain_failure,8.261629603175837,3.2705793476510214,True
2,ln_x,unary,7,3,1.7735990420573965e-32,2.2256434174150515e-32,True,0.0,False,non_constructive_shortcut_or_non_eml_tree;holdout_generalization_failure;complex_domain_failure,0.021240340445972,0.12994137952420154,True
2,neg_x,unary,17,7,1.3096323621833203e-33,9.042391864415665e-33,True,0.0,False,non_constructive_shortcut_or_non_eml_tree;holdout_generalization_failure;complex_domain_failure,0.05793391494973358,0.11256687442120081,True
2,x_square,unary,41,10,7.390833341511307e-31,1.0908654320200067e-30,True,0.0,False,non_constructive_shortcut_or_non_eml_tree;holdout_generalization_failure;complex_domain_failure,1.5223060463590552,1.2073712283308464,True
2,identity_y,binary,1,0,0.0,0.0,True,0.0,False,non_constructive_shortcut_or_non_eml_tree;holdout_generalization_failure;complex_domain_failure,0.833382690559741,0.8438068002722252,True
2,x_minus_y,binary,11,4,4.930380657631324e-32,7.718916568516374e-32,True,0.0,False,non_constructive_shortcut_or_non_eml_tree;holdout_generalization_failure;complex_domain_failure,1.1213454547173152,0.9266765987760271,True
