level,target,promote_as,found,surface,macro_depth,proposal_cost,historical_expansion_cost,raw_depth,train_mse,holdout_mse,complex_mse,asymptotic_mse,generated,scanned,fatal_rejections,runtime_sec
1,exp_x,exp,True,"eml(x,1)",1,3,3,1,0.0,0.0,0.0,0.0,1446,1,0,0.05845189094543457
1,ln_x,ln,True,"eml(1,eml(eml(1,x),1))",3,7,7,3,5.4247026766907145e-33,1.556593733589101e-32,2.2750067059646738e-32,1.0612350291977017e-32,1446,1,0,0.05527973175048828
1,e_const,e,True,"eml(1,1)",1,3,3,1,0.0,0.0,0.0,0.0,6,1,0,0.0003027915954589844
1,zero_const,zero,True,ln(1),1,2,7,3,0.0,0.0,0.0,0.0,363,7,0,0.001753091812133789
2,x_minus_y,sub,True,"eml(ln(x),exp(y))",2,5,11,4,2.311115933264683e-32,4.4874167704222595e-32,4.350194261884669e-32,1.4664331908144583e-32,1194,329,0,0.015556812286376953
2,neg_x,neg,True,"sub(zero,x)",1,3,17,7,5.135813185032629e-34,7.703719777548943e-34,9.073252980861466e-33,2.7391003653507353e-33,4914,36,0,0.06750679016113281
2,x_plus_y,add,True,"sub(sub(x,zero),sub(zero,y))",2,7,43,9,7.395570986446986e-32,6.753594338317907e-32,8.06616073440088e-32,6.490445313114561e-33,6252,2510,0,0.2599985599517822
3,x_times_y,mul,True,"exp(add(ln(x),ln(y)))",3,6,57,12,2.0851722659355762e-31,4.196326885620485e-31,2.1658161157022264e-31,9.599342306275934e-32,3249,1,0,0.0646827220916748
3,x_div_y,div,True,"exp(sub(ln(x),ln(y)))",3,6,25,8,1.8243817408159936e-32,5.083213294074542e-32,9.903919198521637e-32,7.331087809133266e-32,4693,1,0,0.11246204376220703
4,x_square,square,True,"mul(x,x)",1,3,57,12,1.4664314861325368e-31,7.8438715755126985e-31,2.0331507024402393e-31,8.151675077707252e-32,3765,1,0,0.10049033164978027
